	Date	Intensity
0	(05-29) 18:39:00	103.03698857625325
1	(05-29) 18:39:01	103.03698857625325
2	(05-29) 18:39:02	103.03698857625325
3	(05-29) 18:39:03	103.03698857625325
4	(05-29) 18:39:04	103.03698857625325
5	(05-29) 18:39:05	103.03698857625325
6	(05-29) 18:39:06	103.03698857625325
7	(05-29) 18:39:09	103.03698857625325
8	(05-29) 18:39:13	101.86899439493816
9	(05-29) 18:39:17	101.86899439493816
10	(05-29) 18:39:21	101.86899439493816
11	(05-29) 18:39:25	101.86899439493816
12	(05-29) 18:39:29	101.86899439493816
13	(05-29) 18:39:33	101.86899439493816
14	(05-29) 18:39:37	101.86899439493816
15	(05-29) 18:39:41	101.86899439493816
16	(05-29) 18:39:45	101.86899439493816
17	(05-29) 18:39:49	101.86899439493816
18	(05-29) 18:39:53	101.86899439493816
19	(05-29) 18:40:02	101.86899439493816
20	(05-29) 18:40:02	101.86899439493816
21	(05-29) 18:40:05	101.86899439493816
22	(05-29) 18:40:09	101.86899439493816
23	(05-29) 18:40:13	101.01202011108398
24	(05-29) 18:40:17	101.01202011108398
25	(05-29) 18:40:21	101.01202011108398
26	(05-29) 18:40:25	101.01202011108398
27	(05-29) 18:40:28	101.01202011108398
28	(05-29) 18:40:32	101.01202011108398
29	(05-29) 18:40:36	101.01202011108398
30	(05-29) 18:40:40	101.01202011108398
31	(05-29) 18:40:44	101.01202011108398
32	(05-29) 18:40:48	101.01202011108398
33	(05-29) 18:40:52	101.01202011108398
34	(05-29) 18:40:56	101.01202011108398
35	(05-29) 18:41:00	101.01202011108398
36	(05-29) 18:41:05	101.01202011108398
37	(05-29) 18:41:09	101.60133616129558
38	(05-29) 18:41:13	101.60133616129558
39	(05-29) 18:41:17	101.60133616129558
40	(05-29) 18:41:21	101.60133616129558
41	(05-29) 18:41:25	101.60133616129558
42	(05-29) 18:41:29	101.60133616129558
43	(05-29) 18:41:33	101.60133616129558
44	(05-29) 18:41:37	101.60133616129558
45	(05-29) 18:41:41	101.60133616129558
46	(05-29) 18:41:45	101.60133616129558
47	(05-29) 18:41:49	101.60133616129558
48	(05-29) 18:41:53	101.60133616129558
49	(05-29) 18:41:57	101.60133616129558
50	(05-29) 18:42:01	101.60133616129558
51	(05-29) 18:42:09	101.60133616129558
52	(05-29) 18:42:13	101.79290135701497
53	(05-29) 18:42:17	101.79290135701497
54	(05-29) 18:42:21	101.79290135701497
55	(05-29) 18:42:25	101.79290135701497
56	(05-29) 18:42:29	101.79290135701497
57	(05-29) 18:42:33	101.79290135701497
58	(05-29) 18:42:38	101.79290135701497
59	(05-29) 18:42:41	101.79290135701497
60	(05-29) 18:42:45	101.79290135701497
61	(05-29) 18:42:49	101.79290135701497
62	(05-29) 18:42:53	101.79290135701497
63	(05-29) 18:42:57	101.79290135701497
64	(05-29) 18:43:01	101.79290135701497
65	(05-29) 18:43:05	101.79290135701497
66	(05-29) 18:43:09	101.86984380086263
67	(05-29) 18:43:13	101.86984380086263
68	(05-29) 18:43:17	101.86984380086263
69	(05-29) 18:43:21	101.86984380086263
70	(05-29) 18:43:25	101.86984380086263
71	(05-29) 18:43:29	101.86984380086263
72	(05-29) 18:43:33	101.86984380086263
73	(05-29) 18:43:37	101.86984380086263
74	(05-29) 18:43:41	101.86984380086263
75	(05-29) 18:43:45	101.86984380086263
76	(05-29) 18:43:49	101.86984380086263
77	(05-29) 18:43:53	101.86984380086263
78	(05-29) 18:43:57	101.86984380086263
79	(05-29) 18:44:00	101.86984380086263
80	(05-29) 18:44:04	101.86984380086263
81	(05-29) 18:44:08	101.86984380086263
82	(05-29) 18:44:13	102.0240109761556
83	(05-29) 18:44:16	102.0240109761556
84	(05-29) 18:44:21	102.0240109761556
85	(05-29) 18:44:25	102.0240109761556
86	(05-29) 18:44:29	102.0240109761556
87	(05-29) 18:44:33	102.0240109761556
88	(05-29) 18:44:37	102.0240109761556
89	(05-29) 18:44:41	102.0240109761556
90	(05-29) 18:44:45	102.0240109761556
91	(05-29) 18:44:49	102.0240109761556
92	(05-29) 18:44:53	102.0240109761556
93	(05-29) 18:44:57	102.0240109761556
94	(05-29) 18:45:01	102.0240109761556
95	(05-29) 18:45:05	102.0240109761556
96	(05-29) 18:45:09	101.75842030843098
97	(05-29) 18:45:13	101.75842030843098
98	(05-29) 18:45:17	101.75842030843098
99	(05-29) 18:45:21	101.75842030843098
100	(05-29) 18:45:25	101.75842030843098
101	(05-29) 18:45:29	101.75842030843098
102	(05-29) 18:45:33	101.75842030843098
103	(05-29) 18:45:37	101.75842030843098
104	(05-29) 18:45:41	101.75842030843098
105	(05-29) 18:45:45	101.75842030843098
106	(05-29) 18:45:49	101.75842030843098
107	(05-29) 18:45:53	101.75842030843098
108	(05-29) 18:45:57	101.75842030843098
109	(05-29) 18:46:01	101.75842030843098
110	(05-29) 18:46:05	101.75842030843098
