,Date,Intensity
0,(05-29) 19:58:01,94.24871826171875
1,(05-29) 19:58:02,94.24871826171875
2,(05-29) 19:58:03,94.24871826171875
3,(05-29) 19:58:04,94.24871826171875
4,(05-29) 19:58:05,94.24871826171875
5,(05-29) 19:58:06,94.24871826171875
6,(05-29) 19:58:07,94.24871826171875
7,(05-29) 19:58:09,92.2232551574707
8,(05-29) 19:58:13,92.2232551574707
9,(05-29) 19:58:17,92.2232551574707
10,(05-29) 19:58:21,92.2232551574707
11,(05-29) 19:58:25,92.2232551574707
12,(05-29) 19:58:35,92.2232551574707
13,(05-29) 19:58:36,92.2232551574707
14,(05-29) 19:58:37,92.2232551574707
15,(05-29) 19:58:41,92.2232551574707
16,(05-29) 19:58:45,92.2232551574707
17,(05-29) 19:58:49,92.2232551574707
18,(05-29) 19:58:53,92.2232551574707
19,(05-29) 19:58:57,92.2232551574707
20,(05-29) 19:59:01,92.2232551574707
21,(05-29) 19:59:05,92.2232551574707
22,(05-29) 19:59:09,92.07609558105469
23,(05-29) 19:59:13,92.07609558105469
24,(05-29) 19:59:17,92.07609558105469
25,(05-29) 19:59:21,92.07609558105469
26,(05-29) 19:59:25,92.07609558105469
27,(05-29) 19:59:29,92.07609558105469
28,(05-29) 19:59:33,92.07609558105469
29,(05-29) 19:59:37,92.07609558105469
30,(05-29) 19:59:41,92.07609558105469
31,(05-29) 19:59:46,92.07609558105469
32,(05-29) 19:59:50,92.07609558105469
33,(05-29) 19:59:54,92.07609558105469
34,(05-29) 19:59:58,92.07609558105469
35,(05-29) 20:00:02,92.07609558105469
36,(05-29) 20:00:06,92.07609558105469
37,(05-29) 20:00:10,92.07609558105469
38,(05-29) 20:00:14,94.03615951538086
39,(05-29) 20:00:18,94.03615951538086
40,(05-29) 20:00:22,94.03615951538086
41,(05-29) 20:00:26,94.03615951538086
42,(05-29) 20:00:30,94.03615951538086
43,(05-29) 20:00:34,94.03615951538086
44,(05-29) 20:00:38,94.03615951538086
45,(05-29) 20:00:42,94.03615951538086
46,(05-29) 20:00:46,94.03615951538086
47,(05-29) 20:00:50,94.03615951538086
48,(05-29) 20:00:54,94.03615951538086
49,(05-29) 20:00:58,94.03615951538086
50,(05-29) 20:01:02,94.03615951538086
51,(05-29) 20:01:06,94.03615951538086
52,(05-29) 20:01:10,92.51809310913086
53,(05-29) 20:01:14,92.51809310913086
54,(05-29) 20:01:18,92.51809310913086
55,(05-29) 20:01:22,92.51809310913086
56,(05-29) 20:01:26,92.51809310913086
57,(05-29) 20:01:30,92.51809310913086
58,(05-29) 20:01:34,92.51809310913086
59,(05-29) 20:01:38,92.51809310913086
60,(05-29) 20:01:42,92.51809310913086
61,(05-29) 20:01:46,92.51809310913086
62,(05-29) 20:01:50,92.51809310913086
63,(05-29) 20:01:54,92.51809310913086
64,(05-29) 20:01:57,92.51809310913086
65,(05-29) 20:02:02,92.51809310913086
66,(05-29) 20:02:06,92.51809310913086
67,(05-29) 20:02:09,93.0430285135905
68,(05-29) 20:02:13,93.0430285135905
69,(05-29) 20:02:17,93.0430285135905
70,(05-29) 20:02:21,93.0430285135905
71,(05-29) 20:02:25,93.0430285135905
72,(05-29) 20:02:29,93.0430285135905
73,(05-29) 20:02:33,93.0430285135905
74,(05-29) 20:02:37,93.0430285135905
75,(05-29) 20:02:41,93.0430285135905
76,(05-29) 20:02:45,93.0430285135905
77,(05-29) 20:02:50,93.0430285135905
78,(05-29) 20:02:53,93.0430285135905
79,(05-29) 20:02:57,93.0430285135905
80,(05-29) 20:03:01,93.0430285135905
81,(05-29) 20:03:06,93.0430285135905
82,(05-29) 20:03:10,91.4119758605957
83,(05-29) 20:03:14,91.4119758605957
84,(05-29) 20:03:18,91.4119758605957
85,(05-29) 20:03:22,91.4119758605957
86,(05-29) 20:03:26,91.4119758605957
87,(05-29) 20:03:30,91.4119758605957
88,(05-29) 20:03:34,91.4119758605957
89,(05-29) 20:03:38,91.4119758605957
90,(05-29) 20:03:42,91.4119758605957
91,(05-29) 20:03:46,91.4119758605957
92,(05-29) 20:03:50,91.4119758605957
93,(05-29) 20:03:54,91.4119758605957
94,(05-29) 20:03:58,91.4119758605957
95,(05-29) 20:04:02,91.4119758605957
96,(05-29) 20:04:06,91.4119758605957
97,(05-29) 20:04:10,91.3380839029948
98,(05-29) 20:04:14,91.3380839029948
99,(05-29) 20:04:18,91.3380839029948
100,(05-29) 20:04:22,91.3380839029948
101,(05-29) 20:04:26,91.3380839029948
102,(05-29) 20:04:30,91.3380839029948
103,(05-29) 20:04:34,91.3380839029948
104,(05-29) 20:04:38,91.3380839029948
105,(05-29) 20:04:42,91.3380839029948
106,(05-29) 20:04:46,91.3380839029948
107,(05-29) 20:04:50,91.3380839029948
108,(05-29) 20:04:54,91.3380839029948
109,(05-29) 20:04:58,91.3380839029948
110,(05-29) 20:05:02,91.3380839029948
111,(05-29) 20:05:06,91.3380839029948
112,(05-29) 20:05:10,93.84603627522786
113,(05-29) 20:05:14,93.84603627522786
114,(05-29) 20:05:18,93.84603627522786
115,(05-29) 20:05:22,93.84603627522786
116,(05-29) 20:05:26,93.84603627522786
117,(05-29) 20:05:30,93.84603627522786
118,(05-29) 20:05:34,93.84603627522786
119,(05-29) 20:05:38,93.84603627522786
120,(05-29) 20:05:42,93.84603627522786
121,(05-29) 20:05:45,93.84603627522786
122,(05-29) 20:05:49,93.84603627522786
123,(05-29) 20:05:53,93.84603627522786
124,(05-29) 20:05:57,93.84603627522786
125,(05-29) 20:06:01,93.84603627522786
